,Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Compensation
348,F,35.0,Bachelors,Life Sciences,1.0,Research & Development,High,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,9.974,NY,48.0,Married,18.0,Large Option Plan,0
349,M,23.0,Bachelors,Medical,3.0,Research & Development,Low,Junior Associate,2.0,No,Excellent,5.0,3.0,4.0,2.0,0.0,2.0,5.0068,NY,41.0,Married,16.0,Full Option Plan,0
350,F,29.0,Masters,Life Sciences,10.0,Research & Development,Medium,Junior Associate,1.0,No,Excellent,10.0,5.0,3.0,7.0,2.0,8.0,7.6932,NY,43.0,Divorced,18.0,Full Option Plan,0
351,M,37.0,Some College,Life Sciences,1.0,Research & Development,Very High,Junior Associate,3.0,No,Excellent,4.0,2.0,3.0,0.0,0.0,0.0,8.4007,NY,26.0,Single,17.0,No Option Plan,1
352,F,50.0,Below College,Medical,20.0,Research & Development,Very High,Junior Associate,1.0,Yes,Excellent,20.0,3.0,3.0,8.0,3.0,8.0,5.2881,NJ,35.0,Married,11.0,Small Option Plan,0
353,M,34.0,Bachelors,Medical,8.0,Research & Development,Very High,Manager,1.0,No,Excellent,9.0,3.0,4.0,7.0,7.0,7.0,5.6704,NY,30.0,Single,14.0,No Option Plan,1
354,M,39.0,Masters,Technical Degree,20.0,Research & Development,Very High,Associate,1.0,No,Excellent,20.0,4.0,3.0,7.0,11.0,10.0,8.8093,NY,35.0,Single,11.0,No Option Plan,0
355,M,38.0,Masters,Life Sciences,9.0,Research & Development,Medium,Associate,0.0,No,Excellent,10.0,4.0,2.0,7.0,1.0,8.0,3.1774,NY,45.0,Single,13.0,No Option Plan,1
356,M,27.0,Some College,Life Sciences,9.0,Research & Development,High,Manager,1.0,No,Excellent,9.0,3.0,3.0,7.0,0.0,7.0,5.9819,NY,31.0,Married,11.0,No Option Plan,1
357,M,32.0,Some College,Life Sciences,7.0,Research & Development,High,Manager,3.0,No,Excellent,10.0,6.0,3.0,7.0,7.0,7.0,3.2394,NJ,45.0,Single,15.0,No Option Plan,1
358,M,53.0,Bachelors,Life Sciences,5.0,Research & Development,High,Executive,3.0,No,Excellent,32.0,3.0,3.0,1.0,1.0,3.0,2.3726,NY,36.0,Married,19.0,No Option Plan,1
359,M,27.0,Some College,Life Sciences,9.0,Information Technology,Very High,Manager,1.0,No,Outstanding,9.0,4.0,2.0,7.0,1.0,7.0,4.0221,NY,40.0,Divorced,21.0,Large Option Plan,1
360,M,36.0,Bachelors,Life Sciences,8.0,Information Technology,Low,Manager,9.0,No,Excellent,10.0,2.0,3.0,7.0,0.0,5.0,2.3785,NY,44.0,Married,14.0,Full Option Plan,1
361,M,38.0,Bachelors,Life Sciences,1.0,Information Technology,High,Manager,4.0,Yes,Excellent,10.0,4.0,4.0,0.0,0.0,0.0,8.4954,NY,28.0,Single,14.0,No Option Plan,1
362,M,44.0,Bachelors,Medical,5.0,Information Technology,Low,Junior Associate,2.0,No,Excellent,9.0,5.0,3.0,2.0,1.0,4.0,6.1554,NY,21.0,Single,14.0,No Option Plan,0
363,M,34.0,Some College,Medical,5.0,Information Technology,Medium,Associate,3.0,No,Excellent,10.0,2.0,3.0,1.0,4.0,3.0,1.1255,NY,24.0,Single,11.0,No Option Plan,1
364,M,23.0,Below College,Medical,4.0,Information Technology,Medium,Junior Associate,1.0,No,Excellent,5.0,2.0,4.0,3.0,0.0,2.0,8.111,NY,28.0,Married,14.0,Full Option Plan,0
365,M,56.0,Bachelors,Medical,10.0,Research & Development,High,Executive,7.0,No,Excellent,30.0,1.0,2.0,7.0,1.0,1.0,5.794,NY,47.0,Married,11.0,No Option Plan,1
366,F,40.0,Below College,Medical,4.0,Research & Development,Very High,Junior Associate,0.0,Yes,Outstanding,5.0,2.0,2.0,2.0,2.0,3.0,9.4935,NY,45.0,Single,20.0,No Option Plan,0
367,F,27.0,Bachelors,Medical,7.0,Research & Development,Very High,Associate,8.0,No,Excellent,9.0,2.0,1.0,6.0,0.0,7.0,2.8971,NY,47.0,Single,19.0,No Option Plan,1
368,M,53.0,Bachelors,Life Sciences,2.0,Research & Development,Very High,Associate,2.0,No,Excellent,19.0,4.0,3.0,2.0,2.0,2.0,9.5732,NY,41.0,Single,17.0,No Option Plan,0
369,F,35.0,Masters,Life Sciences,1.0,Research & Development,Very High,Associate,2.0,No,Excellent,16.0,2.0,4.0,0.0,0.0,0.0,1.0822,NY,50.0,Divorced,11.0,Full Option Plan,1
370,M,32.0,Masters,Life Sciences,10.0,Research & Development,Low,Associate,1.0,No,Excellent,10.0,2.0,3.0,8.0,4.0,7.0,6.0575,NJ,37.0,Married,15.0,Large Option Plan,1
371,M,38.0,Doctorate,Medical,1.0,Operations,Very High,Junior Associate,6.0,Yes,Excellent,6.0,0.0,1.0,0.0,0.0,1.0,7.6726,NY,50.0,Married,13.0,Full Option Plan,0
372,F,34.0,Doctorate,Life Sciences,0.0,Operations,Medium,Associate,3.0,No,Excellent,7.0,3.0,3.0,0.0,0.0,0.0,2.4609,NY,50.0,Divorced,14.0,Full Option Plan,1
373,F,23.0,Below College,Medical,2.0,Operations,Low,Junior Associate,1.0,No,Excellent,2.0,3.0,3.0,2.0,0.0,2.0,6.473,NJ,40.0,Single,18.0,No Option Plan,0
374,F,52.0,Masters,Medical,4.0,Operations,Very High,Junior Associate,0.0,No,Excellent,5.0,3.0,3.0,3.0,1.0,2.0,3.1762,NY,20.0,Married,18.0,Full Option Plan,0
375,F,26.0,Some College,Life Sciences,2.0,Operations,Low,Junior Associate,3.0,No,Excellent,5.0,2.0,3.0,2.0,2.0,0.0,5.1594,NY,43.0,Divorced,14.0,Full Option Plan,0
376,F,29.0,Bachelors,Medical,8.0,Operations,Medium,Associate,4.0,No,Excellent,11.0,3.0,2.0,7.0,1.0,1.0,2.1822,NY,39.0,Married,12.0,Full Option Plan,0
377,M,34.0,Masters,Life Sciences,4.0,Operations,Medium,Junior Associate,2.0,No,Excellent,10.0,2.0,3.0,2.0,1.0,3.0,11.9696,NY,36.0,Single,16.0,No Option Plan,0
378,M,54.0,Masters,Medical,5.0,Research & Development,Very High,Associate,9.0,Yes,Excellent,9.0,4.0,3.0,3.0,1.0,4.0,1.2379,NY,39.0,Divorced,11.0,Large Option Plan,1
379,F,37.0,Below College,Life Sciences,5.0,Research & Development,Very High,Junior Associate,0.0,Yes,Excellent,6.0,3.0,2.0,3.0,4.0,3.0,14.9262,NY,34.0,Divorced,13.0,Large Option Plan,0
380,M,38.0,Masters,Life Sciences,15.0,Research & Development,Low,Associate,6.0,Yes,Excellent,17.0,2.0,3.0,7.0,4.0,12.0,9.9861,NY,46.0,Single,12.0,No Option Plan,1
381,M,34.0,Masters,Medical,6.0,Research & Development,High,Junior Associate,1.0,No,Excellent,6.0,3.0,3.0,5.0,1.0,3.0,5.3768,NY,48.0,Single,11.0,No Option Plan,0
382,M,30.0,Bachelors,Life Sciences,2.0,Research & Development,Very High,Junior Associate,3.0,No,Outstanding,7.0,2.0,3.0,2.0,0.0,2.0,14.4965,NY,37.0,Married,21.0,Large Option Plan,0
383,M,40.0,Some College,Medical,8.0,Research & Development,High,Associate,1.0,No,Outstanding,8.0,2.0,3.0,7.0,3.0,7.0,13.1351,NY,41.0,Married,24.0,Full Option Plan,0
384,M,42.0,Bachelors,Life Sciences,24.0,Research & Development,Medium,VP to C-Level,1.0,No,Excellent,24.0,4.0,2.0,7.0,14.0,9.0,14.624,NY,22.0,Divorced,13.0,Full Option Plan,1
385,M,24.0,Bachelors,Life Sciences,1.0,Research & Development,High,Junior Associate,1.0,No,Excellent,1.0,4.0,3.0,0.0,0.0,0.0,11.309,NY,28.0,Divorced,11.0,Small Option Plan,0
386,F,52.0,Masters,Life Sciences,5.0,Research & Development,Very High,Associate,8.0,No,Outstanding,9.0,3.0,3.0,2.0,1.0,4.0,7.7381,NJ,40.0,Married,20.0,Full Option Plan,0
387,M,50.0,Bachelors,Medical,4.0,Research & Development,High,Executive,5.0,No,Excellent,30.0,3.0,3.0,3.0,0.0,3.0,19.2795,NJ,45.0,Married,16.0,No Option Plan,1
388,M,33.0,Bachelors,Medical,13.0,Research & Development,High,Manager,0.0,No,Excellent,14.0,3.0,4.0,9.0,3.0,7.0,16.6666,NJ,21.0,Married,11.0,No Option Plan,1
389,M,47.0,Some College,Other,26.0,Research & Development,High,Executive,1.0,Yes,Excellent,26.0,3.0,2.0,14.0,3.0,0.0,19.4439,NJ,39.0,Married,11.0,Full Option Plan,1
390,F,36.0,Bachelors,Other,9.0,Research & Development,High,Associate,0.0,No,Excellent,10.0,2.0,3.0,7.0,0.0,5.0,10.8459,NY,24.0,Married,15.0,Full Option Plan,1
391,F,29.0,Some College,Life Sciences,10.0,Finance,High,Junior Associate,1.0,No,Outstanding,10.0,3.0,3.0,7.0,0.0,7.0,6.6064,NY,40.0,Married,24.0,Full Option Plan,0
392,M,35.0,Masters,Life Sciences,2.0,Finance,Very High,Junior Associate,3.0,No,Excellent,7.0,0.0,3.0,2.0,2.0,2.0,13.3316,NY,22.0,Single,13.0,No Option Plan,0
393,F,42.0,Some College,Life Sciences,4.0,Finance,Very High,Associate,9.0,Yes,Excellent,8.0,4.0,3.0,3.0,0.0,2.0,6.971,NJ,30.0,Married,13.0,Full Option Plan,1
394,F,32.0,Bachelors,Life Sciences,14.0,Finance,High,Associate,1.0,No,Excellent,14.0,3.0,3.0,13.0,6.0,8.0,10.3612,NJ,31.0,Married,12.0,Full Option Plan,1
395,M,40.0,Masters,Medical,1.0,Finance,Low,Associate,6.0,No,Excellent,10.0,6.0,3.0,0.0,0.0,0.0,7.7724,NY,46.0,Single,14.0,No Option Plan,1
396,M,30.0,Bachelors,Medical,0.0,Research & Development,High,Associate,5.0,Yes,Outstanding,12.0,4.0,2.0,0.0,0.0,0.0,16.15,NY,20.0,Single,24.0,No Option Plan,1
397,M,45.0,Bachelors,Life Sciences,1.0,Research & Development,Medium,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,10.7563,NY,41.0,Single,14.0,No Option Plan,0
398,F,42.0,Bachelors,Life Sciences,9.0,Research & Development,Medium,Associate,1.0,No,Excellent,10.0,3.0,2.0,8.0,7.0,8.0,4.9743,NJ,27.0,Married,13.0,Full Option Plan,0
399,M,38.0,Bachelors,Life Sciences,4.0,Research & Development,Low,Associate,2.0,No,Excellent,13.0,3.0,2.0,3.0,1.0,2.0,9.588,NY,48.0,Divorced,15.0,Full Option Plan,1
400,F,34.0,Masters,Life Sciences,5.0,Research & Development,High,Junior Associate,1.0,No,Excellent,6.0,3.0,3.0,2.0,1.0,3.0,18.66,NJ,41.0,Single,16.0,No Option Plan,0
401,M,43.0,Some College,Life Sciences,4.0,Research & Development,Medium,Executive,6.0,No,Outstanding,22.0,3.0,3.0,1.0,1.0,0.0,10.1161,NJ,42.0,Married,24.0,Full Option Plan,1
402,F,27.0,Below College,Technical Degree,9.0,Research & Development,High,Manager,1.0,Yes,Excellent,9.0,3.0,3.0,8.0,0.0,8.0,11.574,NY,21.0,Divorced,16.0,Full Option Plan,1
403,M,35.0,Bachelors,Other,8.0,Research & Development,High,Manager,3.0,No,Outstanding,17.0,3.0,4.0,5.0,1.0,6.0,13.141,NY,22.0,Single,21.0,No Option Plan,1
404,M,27.0,Bachelors,Medical,0.0,Research & Development,Very High,Junior Associate,1.0,No,Excellent,0.0,6.0,2.0,0.0,0.0,0.0,19.8708,NJ,41.0,Married,11.0,Small Option Plan,0
405,M,44.0,Bachelors,Medical,5.0,Research & Development,Very High,Associate,9.0,No,Excellent,10.0,2.0,2.0,2.0,2.0,3.0,9.2,NY,44.0,Single,12.0,No Option Plan,1
406,M,25.0,Below College,Medical,4.0,Finance,Low,Junior Associate,7.0,No,Excellent,6.0,3.0,2.0,3.0,0.0,1.0,0.5844,NY,24.0,Single,13.0,No Option Plan,0
407,M,35.0,Below College,Medical,6.0,Finance,High,Junior Associate,1.0,No,Excellent,6.0,3.0,2.0,5.0,1.0,1.0,4.8285,NY,27.0,Single,11.0,No Option Plan,0
408,F,30.0,Masters,Life Sciences,5.0,Finance,Medium,Junior Associate,9.0,No,Excellent,10.0,3.0,2.0,4.0,0.0,3.0,10.5592,NJ,37.0,Divorced,12.0,Full Option Plan,0
409,M,32.0,Some College,Medical,5.0,Finance,High,Associate,5.0,No,Excellent,9.0,3.0,2.0,3.0,1.0,3.0,18.627,NJ,41.0,Married,12.0,Full Option Plan,1
410,M,52.0,Masters,Medical,9.0,Finance,High,Executive,3.0,No,Outstanding,31.0,3.0,3.0,8.0,0.0,0.0,19.9677,NY,31.0,Married,22.0,No Option Plan,1
411,M,22.0,Some College,Life Sciences,2.0,Research & Development,Very High,Associate,6.0,No,Outstanding,4.0,2.0,1.0,2.0,2.0,2.0,10.9224,NY,31.0,Married,22.0,Large Option Plan,1
412,M,44.0,Masters,Life Sciences,3.0,Research & Development,Low,Junior Associate,2.0,Yes,Outstanding,10.0,2.0,2.0,2.0,0.0,2.0,6.3574,NY,48.0,Married,24.0,Full Option Plan,0
413,M,42.0,Below College,Medical,2.0,Information Technology,Medium,Junior Associate,5.0,Yes,Excellent,8.0,2.0,3.0,1.0,2.0,2.0,14.309,NJ,46.0,Single,14.0,No Option Plan,0
414,M,35.0,Bachelors,Life Sciences,17.0,Information Technology,Very High,Manager,1.0,Yes,Outstanding,17.0,2.0,3.0,14.0,5.0,15.0,9.0001,NY,41.0,Married,20.0,Full Option Plan,1
415,M,32.0,Bachelors,Life Sciences,3.0,Information Technology,Very High,Junior Associate,0.0,No,Excellent,4.0,2.0,3.0,0.0,0.0,2.0,18.664,NJ,38.0,Divorced,12.0,Full Option Plan,0
416,F,49.0,Bachelors,Technical Degree,4.0,Information Technology,High,Junior Associate,2.0,No,Excellent,7.0,2.0,3.0,2.0,0.0,2.0,4.3117,NY,49.0,Married,16.0,Full Option Plan,0
417,F,24.0,Below College,Life Sciences,5.0,Information Technology,Low,Junior Associate,0.0,No,Excellent,6.0,2.0,2.0,2.0,3.0,4.0,32.9432,NJ,32.0,Married,17.0,No Option Plan,0
418,F,42.0,Bachelors,Life Sciences,5.0,Information Technology,High,Associate,2.0,Yes,Excellent,17.0,1.0,2.0,3.0,1.0,3.0,39.6597,NJ,43.0,Married,13.0,Full Option Plan,1
419,M,31.0,Masters,Life Sciences,6.0,Research & Development,Very High,Junior Associate,3.0,Yes,Excellent,8.0,2.0,3.0,4.0,0.0,2.0,38.098,NY,44.0,Married,19.0,Full Option Plan,0
420,F,35.0,Bachelors,Technical Degree,13.0,Research & Development,Very High,Manager,3.0,No,Excellent,16.0,2.0,3.0,10.0,4.0,8.0,24.1378,NJ,33.0,Married,16.0,No Option Plan,1
421,F,53.0,Masters,Life Sciences,12.0,Research & Development,Very High,Executive,6.0,No,Excellent,33.0,0.0,3.0,9.0,3.0,8.0,4.1676,NY,42.0,Single,18.0,No Option Plan,1
422,M,43.0,Bachelors,Life Sciences,5.0,Research & Development,Very High,Associate,4.0,No,Excellent,12.0,2.0,2.0,2.0,2.0,2.0,34.5568,NJ,46.0,Married,13.0,Full Option Plan,1
423,M,50.0,Masters,Life Sciences,31.0,Research & Development,Low,Executive,1.0,No,Excellent,31.0,3.0,3.0,6.0,14.0,7.0,20.3097,NJ,21.0,Divorced,11.0,Full Option Plan,1
424,F,29.0,Below College,Medical,4.0,Research & Development,Low,Junior Associate,6.0,No,Excellent,8.0,5.0,3.0,3.0,0.0,3.0,32.8959,NJ,27.0,Divorced,14.0,Small Option Plan,0
425,M,44.0,Some College,Life Sciences,8.0,Operations,Medium,Junior Associate,1.0,Yes,Excellent,8.0,0.0,3.0,7.0,7.0,1.0,27.1787,NJ,36.0,Married,13.0,No Option Plan,0
426,F,43.0,Bachelors,Life Sciences,1.0,Operations,Low,Associate,4.0,No,Outstanding,4.0,2.0,4.0,0.0,0.0,0.0,32.3808,NJ,43.0,Divorced,21.0,Full Option Plan,1
427,F,36.0,Below College,Life Sciences,16.0,Operations,High,Associate,0.0,Yes,Excellent,17.0,2.0,2.0,8.0,4.0,11.0,9.6023,NY,19.0,Married,17.0,Full Option Plan,1
428,M,28.0,Bachelors,Medical,2.0,Operations,High,Junior Associate,5.0,No,Excellent,6.0,2.0,3.0,2.0,2.0,2.0,33.375,NJ,48.0,Divorced,18.0,Full Option Plan,0
429,F,27.0,Bachelors,Life Sciences,1.0,Operations,Medium,Junior Associate,1.0,No,Excellent,1.0,2.0,3.0,1.0,0.0,0.0,24.156,NJ,23.0,Single,19.0,No Option Plan,0
430,M,34.0,Bachelors,Life Sciences,1.0,Operations,Medium,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,1.0,0.0,13.9769,NJ,32.0,Divorced,14.0,Large Option Plan,0
431,M,33.0,Masters,Other,3.0,Operations,High,Junior Associate,3.0,Yes,Excellent,6.0,1.0,3.0,2.0,0.0,2.0,38.8943,NJ,21.0,Single,11.0,No Option Plan,0
432,F,58.0,Bachelors,Technical Degree,6.0,Research & Development,High,Manager,2.0,Yes,Excellent,24.0,3.0,3.0,0.0,0.0,4.0,16.4955,NJ,42.0,Divorced,13.0,Full Option Plan,1
433,M,35.0,Below College,Life Sciences,10.0,Research & Development,Very High,Associate,1.0,Yes,Outstanding,10.0,2.0,1.0,6.0,0.0,7.0,37.7939,NJ,30.0,Married,25.0,Full Option Plan,0
434,F,49.0,Some College,Other,26.0,Research & Development,Low,Manager,4.0,No,Excellent,29.0,3.0,2.0,9.0,1.0,7.0,37.0364,NJ,49.0,Married,11.0,Full Option Plan,1
435,M,48.0,Masters,Medical,0.0,Research & Development,Very High,Junior Associate,4.0,No,Excellent,13.0,2.0,2.0,0.0,0.0,0.0,35.3402,NJ,39.0,Married,17.0,Large Option Plan,0
436,M,36.0,Masters,Other,6.0,Research & Development,Medium,Junior Associate,2.0,No,Excellent,8.0,6.0,3.0,2.0,0.0,1.0,0.9345,NY,36.0,Single,18.0,No Option Plan,1
437,F,38.0,Bachelors,Technical Degree,15.0,Research & Development,Very High,Manager,1.0,No,Excellent,15.0,3.0,3.0,12.0,5.0,11.0,17.5802,NJ,19.0,Married,13.0,Full Option Plan,1
438,F,32.0,Bachelors,Life Sciences,3.0,Research & Development,High,Junior Associate,6.0,No,Outstanding,5.0,3.0,3.0,0.0,0.0,2.0,7.3836,NY,28.0,Married,20.0,No Option Plan,0
439,M,41.0,Bachelors,Medical,18.0,Research & Development,Very High,Junior Associate,2.0,Yes,Excellent,20.0,3.0,3.0,13.0,2.0,17.0,32.0478,NJ,22.0,Single,13.0,No Option Plan,1
440,F,36.0,Masters,Medical,11.0,Research & Development,High,Junior Associate,4.0,No,Outstanding,16.0,6.0,3.0,8.0,3.0,9.0,23.0436,NJ,37.0,Single,21.0,No Option Plan,0
441,F,31.0,Bachelors,Medical,9.0,Research & Development,Very High,Associate,0.0,Yes,Excellent,10.0,2.0,1.0,7.0,8.0,5.0,34.8705,NJ,37.0,Married,11.0,Large Option Plan,1
442,M,40.0,Masters,Medical,1.0,Research & Development,Very High,Junior Associate,8.0,Yes,Excellent,3.0,2.0,3.0,1.0,0.0,0.0,33.1177,NJ,42.0,Divorced,14.0,Full Option Plan,0
443,M,32.0,Masters,Medical,8.0,Research & Development,High,Associate,1.0,No,Excellent,8.0,2.0,4.0,7.0,6.0,3.0,34.0251,NJ,33.0,Married,12.0,Full Option Plan,1
444,M,33.0,Bachelors,Life Sciences,5.0,Research & Development,Medium,Associate,0.0,No,Excellent,6.0,3.0,3.0,0.0,1.0,4.0,38.7337,NJ,29.0,Single,14.0,No Option Plan,1
445,M,45.0,Some College,Life Sciences,9.0,Research & Development,High,Associate,1.0,No,Excellent,9.0,5.0,2.0,7.0,0.0,8.0,35.7335,NY,37.0,Married,12.0,No Option Plan,0
446,F,52.0,Some College,Life Sciences,9.0,Finance,Very High,Executive,2.0,No,Excellent,26.0,2.0,2.0,8.0,7.0,8.0,39.9035,NJ,46.0,Married,15.0,Full Option Plan,1
447,M,47.0,Masters,Medical,19.0,Finance,High,Associate,1.0,Yes,Excellent,20.0,3.0,4.0,10.0,2.0,7.0,38.8291,NJ,39.0,Divorced,19.0,No Option Plan,1
448,F,33.0,Below College,Life Sciences,3.0,Finance,Medium,Junior Associate,3.0,No,Excellent,5.0,4.0,3.0,2.0,0.0,2.0,29.3046,NJ,26.0,Single,18.0,No Option Plan,0
449,F,45.0,Masters,Medical,5.0,Finance,Very High,Junior Associate,3.0,No,Excellent,8.0,2.0,3.0,3.0,0.0,2.0,29.2963,NJ,32.0,Divorced,14.0,Large Option Plan,0
450,M,50.0,Some College,Medical,5.0,Finance,Very High,Executive,9.0,No,Outstanding,32.0,1.0,2.0,4.0,1.0,3.0,31.0322,NJ,27.0,Divorced,22.0,Full Option Plan,1
451,F,33.0,Masters,Other,6.0,Research & Development,High,Associate,1.0,Yes,Excellent,6.0,2.0,3.0,5.0,1.0,2.0,26.4684,NJ,49.0,Married,13.0,Full Option Plan,1
452,M,41.0,Bachelors,Medical,18.0,Information Technology,Low,VP to C-Level,2.0,No,Excellent,21.0,2.0,4.0,16.0,0.0,11.0,39.4921,NJ,30.0,Divorced,17.0,Full Option Plan,1
453,M,27.0,Masters,Technical Degree,2.0,Information Technology,High,Junior Associate,9.0,No,Excellent,4.0,2.0,3.0,2.0,2.0,2.0,31.1757,NJ,30.0,Married,14.0,Full Option Plan,0
454,M,45.0,Some College,Life Sciences,9.0,Information Technology,Very High,Associate,1.0,Yes,Excellent,9.0,2.0,3.0,8.0,0.0,8.0,35.2802,NJ,42.0,Married,15.0,Full Option Plan,0
455,F,50.0,Bachelors,Life Sciences,12.0,Information Technology,Very High,Executive,3.0,Yes,Excellent,22.0,2.0,3.0,11.0,1.0,5.0,38.7563,NJ,41.0,Married,18.0,Full Option Plan,1
456,M,38.0,Below College,Medical,2.0,Information Technology,High,Junior Associate,0.0,No,Excellent,3.0,0.0,2.0,1.0,0.0,2.0,18.0742,NJ,30.0,Married,17.0,Full Option Plan,0
457,F,46.0,Some College,Medical,8.0,Information Technology,Very High,Manager,6.0,No,Excellent,13.0,3.0,3.0,7.0,0.0,7.0,37.015,NJ,23.0,Divorced,13.0,Full Option Plan,1
458,M,24.0,Below College,Medical,4.0,Research & Development,Very High,Associate,1.0,No,Excellent,5.0,6.0,3.0,2.0,3.0,2.0,28.4619,NJ,23.0,Divorced,15.0,Large Option Plan,0
459,M,31.0,Below College,Life Sciences,4.0,Research & Development,High,Associate,1.0,No,Excellent,4.0,1.0,3.0,3.0,0.0,3.0,34.2888,NJ,28.0,Married,12.0,Full Option Plan,0
460,M,18.0,Some College,Life Sciences,0.0,Research & Development,Medium,Junior Associate,1.0,No,Excellent,0.0,2.0,3.0,0.0,0.0,0.0,34.4302,NJ,19.0,Single,15.0,No Option Plan,0
461,F,54.0,Bachelors,Technical Degree,10.0,Research & Development,High,Manager,8.0,No,Excellent,22.0,2.0,3.0,7.0,0.0,8.0,15.172,NJ,36.0,Married,11.0,Full Option Plan,1
462,M,35.0,Masters,Medical,16.0,Marketing,High,Manager,1.0,Yes,Excellent,16.0,3.0,2.0,10.0,10.0,1.0,34.0136,NJ,48.0,Divorced,11.0,Full Option Plan,1
463,F,30.0,Some College,Life Sciences,8.0,Marketing,Medium,Manager,0.0,Yes,Excellent,9.0,4.0,2.0,7.0,1.0,7.0,36.8047,NJ,42.0,Married,12.0,Small Option Plan,1
464,F,26.0,Some College,Medical,8.0,Marketing,Very High,Associate,1.0,No,Excellent,8.0,2.0,3.0,7.0,1.0,3.0,58.3353,NJ,41.0,Married,12.0,No Option Plan,1
465,M,22.0,Below College,Life Sciences,4.0,Marketing,Medium,Junior Associate,1.0,No,Excellent,4.0,3.0,2.0,3.0,1.0,1.0,59.2595,NJ,24.0,Married,15.0,Full Option Plan,0
466,M,48.0,Bachelors,Life Sciences,2.0,Marketing,Low,Associate,2.0,No,Excellent,19.0,0.0,3.0,2.0,2.0,2.0,47.1681,NJ,36.0,Single,13.0,No Option Plan,0
467,M,48.0,Masters,Life Sciences,15.0,Research & Development,High,Manager,7.0,No,Excellent,27.0,3.0,3.0,11.0,4.0,8.0,11.2571,NJ,45.0,Single,14.0,No Option Plan,1
468,M,41.0,Some College,Medical,2.0,Research & Development,Very High,Associate,6.0,No,Excellent,8.0,6.0,3.0,2.0,2.0,1.0,41.9225,NJ,46.0,Single,14.0,No Option Plan,1
469,M,39.0,Below College,Life Sciences,21.0,Research & Development,Very High,Executive,1.0,No,Excellent,21.0,3.0,3.0,6.0,11.0,8.0,11.9991,NJ,25.0,Married,16.0,Full Option Plan,1
470,F,27.0,Masters,Life Sciences,3.0,Research & Development,Low,Associate,0.0,No,Excellent,4.0,2.0,3.0,2.0,2.0,2.0,13.8609,NY,43.0,Married,18.0,Full Option Plan,0
471,M,35.0,Bachelors,Other,3.0,Operations,Medium,Junior Associate,1.0,No,Outstanding,3.0,4.0,2.0,2.0,1.0,2.0,54.5704,NY,41.0,Divorced,20.0,Full Option Plan,0
472,F,50.0,Bachelors,Life Sciences,1.0,Operations,Low,Junior Associate,4.0,No,Excellent,8.0,5.0,3.0,0.0,0.0,0.0,35.9595,NJ,37.0,Married,18.0,No Option Plan,0
473,M,59.0,Bachelors,Life Sciences,5.0,Operations,High,Executive,3.0,Yes,Excellent,30.0,4.0,3.0,3.0,4.0,3.0,38.8127,NJ,33.0,Single,13.0,No Option Plan,1
474,M,55.0,Masters,Medical,8.0,Operations,High,Associate,3.0,Yes,Excellent,17.0,3.0,3.0,7.0,6.0,7.0,29.2044,NJ,37.0,Married,14.0,Large Option Plan,1
475,F,41.0,Below College,Life Sciences,21.0,Operations,Medium,VP to C-Level,1.0,No,Outstanding,21.0,3.0,3.0,16.0,5.0,10.0,40.8967,NJ,22.0,Divorced,22.0,Large Option Plan,1
476,M,39.0,Bachelors,Medical,21.0,Operations,Very High,Manager,1.0,Yes,Excellent,21.0,2.0,3.0,6.0,2.0,8.0,13.5433,NJ,23.0,Single,13.0,No Option Plan,1
477,M,32.0,Masters,Medical,8.0,Operations,Very High,Junior Associate,9.0,No,Excellent,10.0,2.0,3.0,7.0,7.0,7.0,48.9179,NY,50.0,Single,12.0,No Option Plan,0
478,F,38.0,Masters,Other,2.0,Research & Development,High,Junior Associate,3.0,No,Excellent,8.0,2.0,3.0,2.0,2.0,2.0,46.6326,NJ,26.0,Married,16.0,Full Option Plan,0
479,M,50.0,Masters,Medical,8.0,Research & Development,Medium,VP to C-Level,2.0,Yes,Excellent,29.0,2.0,2.0,1.0,7.0,7.0,40.6998,NJ,27.0,Married,11.0,Full Option Plan,1
480,M,37.0,Bachelors,Other,4.0,Research & Development,Very High,Associate,3.0,No,Excellent,8.0,3.0,2.0,3.0,0.0,1.0,21.7464,NJ,22.0,Single,15.0,No Option Plan,0
481,M,26.0,Below College,Medical,5.0,Research & Development,Low,Junior Associate,1.0,No,Excellent,5.0,5.0,3.0,3.0,1.0,3.0,39.3407,NY,31.0,Divorced,13.0,Large Option Plan,0
482,M,46.0,Masters,Medical,2.0,Research & Development,Very High,VP to C-Level,9.0,No,Excellent,23.0,0.0,3.0,2.0,2.0,2.0,56.4912,NJ,22.0,Divorced,17.0,Large Option Plan,1
483,F,56.0,Bachelors,Medical,5.0,Research & Development,Low,Junior Associate,2.0,No,Excellent,18.0,4.0,3.0,4.0,0.0,3.0,31.9156,NJ,33.0,Married,19.0,Full Option Plan,0
